LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index,
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,,nm^2
ID4797,4797,3,913,684.811099,1146.931566,0,4,4,17.06148853,1,,251.6557377,255,0,255,230265,29.02625683,0.99190736,8.634710377,-0.19934423,-0.261217369,21.05229967,14.92473517,0.798016364,1.41056437,914.5,130.3409348,0.676444097,0.866824645,4.310116177,10.13296399
ID4799,4799,4,3939,580.0382628,1227.594694,0,4,4,35.39362311,1,,254.8053435,255,0,255,1001385,7.043588388,0.961102066,35.45797029,-0.736227726,-0.010200762,38.97714685,35.29482273,1.002224181,1.104330433,3935.5,260.4474503,0.729070558,0.885675706,4.151644438,43.6066482
ID4864,4864,15,475,952.4688375,1044.168067,0,5,5,12.30916349,1,,253.9240506,255,0,255,120360,16.54651115,0.995789399,15.31370172,-1.497982594,-0.438241782,17.89749425,10.13065037,0.687760063,1.766667844,476,88.79056353,0.7587229,0.959677419,4.069708807,5.274238227
ID4866,4866,3,3240,715.7219654,1163.305312,0,5,5,32.1365279,1,,253.744229,255,0,255,824415,17.85336805,0.99814329,14.19947456,-0.429341541,-0.326706269,39.49916235,27.48341374,0.600766895,1.437200005,3244.5,236.7300391,0.727529994,0.910736842,4.156037721,35.9501385
ID4868,4868,4,6594,602.1319697,1234.057374,0,5,5,45.83497844,1,,254.0735695,255,0,255,1678410,15.34330947,0.718168369,13.8430247,0.074853682,0.386665164,54.48680434,39.89863446,0.916159489,1.365630806,6600,331.0211027,0.756906853,0.923916847,4.074588108,73.13019391
ID4870,4870,5,2429,905.6328103,1258.775186,0,5,5,27.76592416,1,,255,255,255,255,617100,0,0.696078431,Infinity,-1.673963004,-0.048871176,33.43351805,31.31094868,2.199727124,1.067790005,2422,221.5890258,0.619851286,0.828600753,4.502577314,26.8365651
ID4848,4848,11,4093,244.1449328,17.9962963,0,5,5,36.10372535,1,,254.8753666,255,0,255,1042950,5.63682147,0.70069243,37.25848793,0.108063275,-1.896248779,55.8145124,28.09385063,0.006267786,1.986716351,4095,306.1528287,0.549018801,0.861742424,4.784221995,45.37396122
ID4849,4849,13,1371,799.1282379,6.866411285,0,5,5,20.88644774,1,,255,255,255,255,349350,0,0.685559086,Infinity,-0.635266149,-1.512684654,43.99566331,12.52495318,0.040971468,3.512640941,1370.5,203.3803979,0.416361648,0.869882577,5.493758606,15.18559557
ID4850,4850,12,1631,709.5080678,181.3565155,0,5,5,22.79214194,1,,253.4394125,255,0,255,414120,19.89363175,0.997536964,12.7240172,-1.443558849,-1.114009309,29.17380589,19.6179685,0.77541045,1.487096174,1632,171.7352548,0.695362235,0.877655284,4.251081015,18.08310249
ID4851,4851,6,5606,1046.661667,224.5372024,0,5,5,42.22008246,1,,254.3627276,255,0,255,1424940,12.73292141,0.997734996,19.95412731,0.383095208,-2.125274783,51.97157755,36.57565491,1.132521575,1.420933615,5600,337.4015664,0.618163989,0.82486375,4.508718084,62.0498615
ID4852,4852,7,5791,1235.865652,262.5085396,0,5,5,42.95443231,1,,254.3842704,255,0,255,1474920,12.51634671,0.719915878,17.01442242,-0.239777829,-2.22E-04,47.44113571,40.36242303,2.476088586,1.175378784,5796.5,302.6612337,0.795173884,0.937110985,3.975336332,64.22714681
ID4853,4853,8,6127,963.7235553,496.357139,0,5,5,44.15842346,1,,254.2925914,255,0,255,1558305,13.41335641,0.997384341,18.93333605,-0.990105393,3.796076074,61.12658445,37.25034292,-1.475854861,1.640967026,6126,364.6825211,0.5788379,0.831094831,4.659361988,67.87811634
ID4854,4854,9,5083,572.8614252,692.918658,0,5,5,40.2299219,1,,254.1474926,255,0,255,1292340,14.72091126,0.997766025,17.24508022,-0.074899885,0.146616317,44.8572101,36.96296149,-0.846410477,1.213571865,5084.5,292.6303184,0.746138545,0.901027822,4.103885111,56.33795014
ID4855,4855,0,7150,917.604877,760.7894075,0,5,5,47.72657064,1,,254.3945531,255,0,255,1821465,12.41144291,0.999346528,20.49007581,-1.329363772,-1.121154781,51.80103503,47.09081373,2.470261704,1.100024207,7156,363.4710791,0.680676058,0.87567303,4.296696661,79.29085873
ID4857,4857,1,4987,695.4146268,970.375,0,5,5,39.83034613,1,,253.9249147,255,0,255,1264800,16.52409655,0.996513568,15.34011224,0.201519512,0.774423791,56.00743837,31.19095746,2.404388456,1.795630623,4984,331.1114547,0.57126746,0.816714461,4.690133325,55.22437673
ID4860,4860,10,5353,1172.521165,1000.031388,0,5,5,41.25533858,1,,254.4758969,255,0,255,1361955,11.54974203,0.998501876,22.0165208,0.499762461,-0.708731592,51.14132245,35.30737611,2.029880351,1.448460013,5347,306.9888733,0.712975782,0.903743767,4.198242714,59.2465374
ID4863,4863,2,7090,407.5181921,1026.297842,0,5,5,47.50931912,1,,254.281589,255,0,255,1805145,13.51682057,0.999340247,18.80602605,1.04205948,-0.022505421,53.47527807,43.20012318,0.081826202,1.237850129,7091,336.9554089,0.784824379,0.937528922,4.001461931,78.57063712
ID4832,4832,3,2657,718.7942097,1168.102754,0,6,6,29.11185449,1,,253.65739,255,0,255,674475,18.45781885,0.99849084,13.73216644,-0.009327816,0.354932148,39.86891105,23.98818096,0.419416715,1.662023107,2662.5,232.7148039,0.617805056,0.85638469,4.510027636,29.50138504
ID4804,4804,11,3439,238.4785354,16.82706876,0,6,6,33.052073,1,,254.7029703,255,0,255,874650,8.699217494,0.698150769,24.0744731,5.455399513,-2.57658322,55.61719305,25.4781402,-0.232866714,2.182937711,3432,304.1760076,0.466130191,0.823712949,5.192198839,38.02770083
ID4805,4805,13,1192,818.3590067,7.455948373,0,6,6,19.44613444,1,,255,255,255,255,303450,0,0.670494493,Infinity,0.494172994,-2.623117719,34.36039571,15.49684641,0.030867686,2.21725084,1188,175.5127424,0.484628555,0.874815906,5.092141132,13.1634349
ID4806,4806,12,2045,717.6061161,190.4094389,0,6,6,25.52295402,1,,253.5058594,255,0,255,519180,19.46685495,0.995096859,12.99043144,-0.672140706,0.202601502,38.38811415,17.29691661,1.194490995,2.219361694,2046.5,198.8559297,0.650346072,0.919982018,4.395746826,22.67590028
ID4838,4838,4,6248,608.920647,1238.856829,0,6,6,44.60131874,1,,254.2246759,255,0,255,1588650,14.04058592,0.698879712,14.89711842,1.085049162,3.654817326,52.79184987,40.03002032,0.941887713,1.318806472,6249.5,317.0137247,0.781446062,0.936745859,4.010102085,69.2465374
ID4807,4807,6,6149,1052.118028,225.6382352,0,6,6,44.2106532,1,,254.4180929,255,0,255,1560855,12.16847681,0.995981856,20.8658753,-0.698586621,-0.778797259,59.89613259,34.52920269,1.00651122,1.734651481,6140.5,342.2256113,0.658853085,0.885436193,4.367276011,68.03878116
ID4839,4839,5,2811,907.2524606,1258.135717,0,6,6,29.91269112,1,,254.5465861,255,0,255,715785,10.74504671,0.699747764,19.50500227,-1.241227506,6.002218398,39.58511201,30.12019512,2.48002378,1.314238233,2811,229.0787569,0.673133297,0.894937918,4.320702807,31.1468144
ID4808,4808,7,5553,1241.990997,265.4680411,0,6,6,42.04632098,1,,254.7248201,255,0,255,1416270,8.373037004,0.706027353,25.17988755,3.462372425,-0.468915918,50.43691299,40.86928032,0.177128442,1.234103282,5554,296.1145711,0.795969052,0.954541549,3.973350169,61.5401662
ID4813,4813,8,7803,967.970034,499.3958186,0,6,6,49.82947187,1,,254.4771912,255,0,255,1985940,11.5351623,0.998545176,22.04493878,0.16494226,-0.07613289,59.87707027,43.52925909,1.757175635,1.375559141,7800.5,368.8625776,0.720448782,0.904930394,4.176412397,86.43213296
ID4814,4814,14,797,736.8472135,499.8985279,0,6,6,15.8827134,1,,254.0389447,255,0,255,202215,15.63497904,0.993267522,16.19323569,0.040248967,0.084440231,18.3987196,14.83317828,1.90494944,1.240376084,792.5,109.0261757,0.837813931,0.957125604,3.872854163,8.781163435
